,first_algo,bsl_algo,xgb_bsl,knn_bsl_u,knn_bsl_m,xgb_knn_bsl,svd,svdpp,xgb_final,xgb_all_models
rmse,1.2250538882870359,1.0816521844336946,1.147404151581027,1.0819113920055166,1.0820675561875701,1.1036911569318997,1.081878269566223,1.0824850482364397,1.099488091050853,1.089332159525429
mape,32.169271993372114,34.03577369120414,32.90064547595926,34.03039486807482,34.03249671921627,33.56162043700512,33.99000898123325,33.96292723846821,33.63434460863988,34.494657102630924
predictions,[3.0765088 3.0765088 3.0765088 ... 3.0765088 3.0765088 3.0765088],[3.58761047 3.58761047 3.58761047 ... 3.58761047 3.58761047 3.58761047],[3.2884128 3.2884128 3.2884128 ... 3.2884128 3.2884128 3.2884128],[3.58761047 3.58761047 3.58761047 ... 3.58761047 3.58761047 3.58761047],[3.58761047 3.58761047 3.58761047 ... 3.58761047 3.58761047 3.58761047],[3.469741 3.469741 3.469741 ... 3.469741 3.469741 3.469741],[3.58761047 3.58761047 3.58761047 ... 3.58761047 3.58761047 3.58761047],[3.58761047 3.58761047 3.58761047 ... 3.58761047 3.58761047 3.58761047],[3.4870589 3.4870589 3.4870589 ... 3.4870589 3.4870589 3.4870589],[3.5913184 3.5913184 3.5913184 ... 3.5913184 3.5913184 3.5913184]
